,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,BL,SP Won,SP Attempts,CP EX,FP EX,DE EX,P EX,Total EX,Team,Opponent,Outcome,Tournament,stat_type,Match Number,Ref 1,Ref 2
0,MADI,Lwazi,32:00:00,32,0,,,0,0,,,,,,,,,,,,1,,,,,0,,,0,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
1,CARD,Devon,16:08,16,8,0,2,0,1,0,1,,,,,,,,,1,1,,,,,0,,,0,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
2,REZELMAN,Timothy,14:02,14,2,1,2,1,1,,,0,1,,,,,,,,,,,,1,0,,,1,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
3,BADENHORST,Nardus,14:34,14,34,0,1,0,1,,,,,,,,,,,2,,,,,,0,,,0,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
4,LAURENSON,Cameron Bain,10:59,10,59,0,1,0,1,,,,,,,,,,,,,,,,1,1,,,2,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
5,STONE,Ross,24:27:00,24,27,1,4,0,2,,,0,1,,,,,1,1,1,,2,0,2,,0,,,0,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
6,EVEZARD,Jason,24:30:00,24,30,0,1,0,0,,,0,1,,,,,,,1,,,0,1,1,1,,,2,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
7,RODDA,Nicholas,21:46,21,46,0,5,0,2,,,0,2,0,1,,,,,,,1,0,1,,0,,,0,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
8,MARGRO,Yaseen,15:53,15,53,0,1,0,1,,,,,,,,,,,,1,,,,,1,,,1,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
9,MAYMAN,Mogamad Farouk,12:52,12,52,,,0,0,,,,,,,,,,,,,,,,,0,,,0,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
10,NEILL,Liam,18:48,18,48,,,0,0,,,,,,,,,,,1,,,,,,0,,,0,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
11,STEWART,Donn,18:01,18,1,,,0,0,,,,,,,,,,,,,,,,1,0,,,1,RSA,ITA,L,OLY2020,Player,1,IVANOSKI,SALNICHENKO
12,,,,,,2,17,1,9,0,1,0,5,0,1,,,1,1,10,3,3,0,4,4,3,,,7,RSA,ITA,L,OLY2020,Team,1,IVANOSKI,SALNICHENKO
13,Del LUNGO,Marco,16:00,16,0,,,0,0,,,,,,,,,,,,3,,,,,0,,,0,ITA,RSA,W,OLY2020,Player,1,SALNICHENKO,IVANOSKI
14,Di FULVIO,Francesco,21:41,21,41,5,10,1,4,,,2,2,,,,,2,4,,1,,3,3,,0,,,0,ITA,RSA,W,OLY2020,Player,1,SALNICHENKO,IVANOSKI
